brand, product_name, shipping
GIGABYTE,GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD 4GB 256-Bit GDDR5 PCI Express 3.0 x16 CrossFireX Support ATX Video Card,Free Shipping
ZOTAC,ZOTAC GeForce GTX 1060 DirectX 12 ZT-P10620A-10M 6GB 192-Bit GDDR5X PCI Express 3.0 HDCP Ready Video Card,Free Shipping
GIGABYTE,GIGABYTE Geforce RTX 2060 Gaming OC 6G Graphics Card|  3 x WINDFORCE Fans|  6GB 192-Bit GDDR6|  GV-N2060GAMING OC-6GD Video Card,$4.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1070 DirectX 12 GV-N1070G1 GAMING-8GD R2 256-Bit GDDR5 PCI Express 3.0 x16 SLI Support ATX Video Card,Free Shipping
XFX,XFX Radeon RX 580 GTS Black Edition 1405 MHz OC+|  8GB 256-bit GDDR5|  DX12 VR Ready|  Double Dissipation|  Dual BIOS|  PCI-E AMD Graphics Card (RX-580P828D6),$7.99 Shipping
ASUS,ASUS ROG Strix Radeon RX 570 O4G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (ROG-STRIX-RX570-O4G-GAMING),Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060WF2OC-3GD 3GB 192-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,Free Shipping
ZOTAC,ZOTAC GAMING GeForce RTX 2060 Twin Fan 6GB GDDR6 192-bit Gaming Graphics Card|  Super Compact|  IceStorm 2.0|  ZT-T20600F-10M,$4.99 Shipping
MSI,MSI GeForce GTX 1070 DirectX 12 GTX 1070 GAMING 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,$3.99 Shipping
MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 ARMOR 8G 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
GIGABYTE,GIGABYTE Radeon RX 580 DirectX 12 GV-RX580GAMING-8GD 8GB 256-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,$14.99 Shipping
MSI,MSI GeForce RTX 2080 DirectX 12 RTX 2080 VENTUS 8G 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,Free Shipping
ASUS,ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-O6G-GAMING 6GB 192-Bit GDDR6 HDCP Ready Video Card,$4.99 Shipping
MSI,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR MK2 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2080 Ti FTW3 ULTRA GAMING|  11G-P4-2487-KR|  11GB GDDR6|  iCX2 & RGB LED,$7.99 Shipping
Sapphire Tech,Sapphire Radeon NITRO+ RX 590 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate SPECIAL EDITION (UEFI)|  100415NT+8GSEL,Free Shipping
EVGA,EVGA GeForce GTX 1060 SC GAMING|  ACX 2.0 (Single Fan)|  06G-P4-6163-KR|  6GB GDDR5|  DX12 OSD Support (PXOC)|  Only 6.8 Inches,Free Shipping
PowerColor,PowerColor RED DRAGON Radeon RX 570 DirectX 12 AXRX 570 4GBD5-3DHD/OC 4GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card,Free Shipping
GIGABYTE,GIGABYTE Geforce RTX 2060 OC GG Graphics Card|  2 x WINDFORCE Fans|  6GB 192-Bit GDDR6|  GV-N2060OC-6GD Video Card,Free Shipping
ZOTAC,ZOTAC GAMING GeForce RTX 2060 AMP 6GB GDDR6 192-bit Gaming Graphics Card|  Super Compact|  IceStorm 2.0|  ZT-T20600D-10M,$4.99 Shipping
GIGABYTE,GIGABYTE GeForce RTX 2070 WINDFORCE 8G Graphics Card|  3 x WINDFORCE Fans|  8GB 256-Bit GDDR6|  GV-N2070WF3-8GC Video Card,Free Shipping
MSI,MSI GeForce GTX 1060 DirectX 12 GTX 1060 GAMING X 6G 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,$18.20 Shipping
NVIDIA,NVIDIA TITAN RTX DirectX 12 900-1G150-2500-000 SB 24GB 384-Bit GDDR6 HDCP Ready Video Card,Free Shipping
XFX,XFX Radeon RX 580 DirectX 12 RX-580P8DFD6 XXX Edition 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2060 XC ULTRA GAMING|  6GB GDDR6|  Dual HDB Fans Graphics Card 06G-P4-2167-KR,Free Shipping
ASUS,ASUS ROG GeForce RTX 2070 DirectX 12 ROG-STRIX-RTX2070-O8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,Free Shipping
PowerColor,PowerColor RED DRAGON Radeon RX 580 DirectX 12 AXRX 580 8GBD5-3DHDV2/OC 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2060 XC BLACK GAMING|  6GB GDDR6|  HDB Fan Graphics Card 06G-P4-2061-KR,Free Shipping
EVGA,EVGA GeForce RTX 2080 Ti DirectX 12 11G-P4-2281-KR 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support BLACK EDITION GAMING Video Card|  Dual HDB Fans & RGB LED,Free Shipping
Sapphire Tech,Sapphire Radeon NITRO+ RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate SPECIAL EDITION (UEFI)|  100411NT+8GSEL,Free Shipping
XFX,XFX Radeon RX 590 Fatboy DirectX 12 RX-590P8DFD6 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2070 Black GAMING|  08G-P4-1071-KR|  8GB GDDR6|  Dual HDB Fans,Free Shipping
MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 ARMOR 8G OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2080 GAMING OC 8G Graphics Card|  3 x WINDFORCE Fans|  8GB 256-Bit GDDR6|  GV-N2080GAMING OC-8GC Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2070 GAMING OC 8G Graphics Card|  3 x WINDFORCE Fans|  8GB 256-Bit GDDR6|  GV-N2070GAMING OC-8GC Video Card,Free Shipping
ASUS,ASUS Cerberus GeForce GTX 1050 Ti 4GB OC Edition GDDR5 Gaming Graphics Card|  CERBERUS-GTX1050TI-O4G,$4.99 Shipping